State or territory of residence,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,From 2010 to 2020
Alabama,3740,4063,3873,3848,3685,3928,4736,3801,3737,3669,2843,41923
Alaska,1703,1799,1612,1460,1505,1572,1726,1547,1375,1374,823,16496
Arizona,18243,20333,18434,16097,16908,17997,20694,19344,18335,18181,12516,197082
Arkansas,2684,2874,2795,2900,2793,2814,3158,3071,3000,2915,2224,31228
California,208446,210591,196622,191806,198379,209568,223141,214243,200897,193093,138996,2185782
Colorado,12489,13547,13327,11108,10872,12661,14225,14520,13913,13558,9223,139443
Connecticut,12222,12577,12237,10985,11252,11102,12669,11938,11629,10630,7802,125043
Delaware,2198,2355,2208,2325,2085,2168,2204,2244,1831,2084,1301,23003
District of Columbia,2897,2724,2811,2981,3169,2976,3114,2885,2775,2398,1653,30383
Florida,107276,109229,103047,102939,109310,118873,136337,127609,130405,118140,65799,1228964
Georgia,24833,27015,26134,24387,23792,25919,29572,26242,26725,27246,18282,280147
Guam,1383,1313,1430,1210,1089,1249,1147,1107,1231,1011,598,12768
Hawaii,7037,7296,6764,6226,5741,6513,6285,5396,5430,4917,2709,64314
Idaho,2556,2602,2428,2120,2202,2531,2562,2709,2728,2312,1853,26603
Illinois,37909,38325,38373,35988,36535,40482,43207,40530,38287,37958,27377,414971
Indiana,8539,8262,8359,7668,8008,8554,9946,10052,9741,8527,6551,94207
Iowa,4245,4624,4679,4105,4225,5047,5299,5577,5484,5534,3907,52726
Kansas,5501,5086,4980,5000,4861,5419,5709,5703,5630,5139,3943,56971
Kentucky,4930,5403,5243,5159,5634,5647,7098,7537,8734,6006,3932,65323
Louisiana,4397,4226,4454,4355,4382,4696,5784,4688,4889,5116,2584,49571
Maine,1349,1467,1497,1208,1382,1464,1748,1594,1749,1361,935,15754
Maryland,26450,25778,24971,25361,24787,22627,26077,25095,24301,22304,16049,263800
Massachusetts,31069,32236,31392,29482,29776,28535,35706,37010,33174,30834,22107,341321
Michigan,18579,18347,17494,16952,18185,18049,22569,18927,19850,17414,13953,200319
Minnesota,12408,12389,12999,12781,13764,14737,15603,16009,16721,13833,9828,151072
Mississippi,1709,1666,1583,1716,1587,1587,2149,1793,1643,1687,1020,18140
Missouri,7151,7048,6635,6345,6419,6731,6868,7707,7638,6900,5836,75278
Montana,457,511,503,445,451,519,566,529,565,545,505,5596
Nebraska,4400,4535,4384,4141,4442,5234,5654,5327,6500,4279,2768,51664
Nevada,10803,10449,10343,9886,10089,11053,11555,12733,10851,11718,7040,116520
New Hampshire,2556,2478,2466,2227,2103,2159,2332,2279,2200,2046,1446,24292
New Jersey,56920,55547,50790,53082,51609,49801,56187,54440,54424,48754,30275,561829
New Mexico,3528,3767,3714,3664,3359,3626,4104,4002,4296,3736,2925,40721
New York,147999,148426,149505,133601,141406,130010,159878,139409,134839,124026,81755,1490854
North Carolina,16112,17571,17487,16798,17152,18495,20811,21184,20838,18419,13989,198856
North Dakota,1058,948,1144,1234,1351,1600,1595,1471,1674,1494,1001,14570
Ohio,13585,13857,13948,13819,14641,16050,17251,16894,18809,16467,12651,167972
Oklahoma,4627,4503,4646,4648,4441,4880,5960,5535,5938,4642,3031,52851
Oregon,7997,7694,7791,7171,7379,8655,10033,9221,9679,8521,5984,90125
Pennsylvania,24130,25397,25032,24720,23944,24969,27217,27762,26078,25329,17398,271976
Puerto Rico,4283,3288,3106,2942,2709,3322,3581,3298,3062,2555,1689,33835
Rhode Island,4027,3681,3798,3337,3297,3610,4194,4102,4336,3445,2292,40119
South Carolina,4401,4216,3924,4266,4233,4417,5104,5027,5078,4675,3705,49046
South Dakota,987,1337,1521,1231,1108,1265,1229,1017,1132,1199,885,12911
Tennessee,8156,8279,8573,8380,8507,8833,10032,9793,9590,9507,6704,96354
Texas,87750,94481,95557,92674,95295,99727,110651,110126,104515,107955,74565,1073296
Utah,6085,6426,5932,5503,6166,6883,7271,6390,5723,6838,5421,68638
Vermont,867,943,877,838,791,792,886,787,824,648,495,8748
Virginia,28607,27767,28227,27861,28477,27622,29242,29466,27426,24784,18183,297662
Washington,22283,23789,23060,22994,22710,24765,27304,27363,26029,25570,21549,267416
West Virginia,729,830,779,760,783,786,928,776,675,817,547,8410
Wisconsin,6189,6245,6049,5918,5997,6655,7111,6681,7433,7138,4525,69941
Wyoming,452,420,427,522,414,539,462,444,409,410,241,4740
Other1,1694,1480,1667,1379,1336,1116,1225,1413,1212,1295,775,14592
Unknown,0,0,0,0,1,202,1809,820,624,812,374,4642
