State or territory of residence,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Total,1062040,1031631,990553,1016518,1051031,1183505,1127167,1096611,1031765,707362
Alabama,4063,3873,3848,3685,3928,4736,3801,3737,3669,2843
Alaska,1799,1612,1460,1505,1572,1726,1547,1375,1374,823
Arizona,20333,18434,16097,16908,17997,20694,19344,18335,18181,12516
Arkansas,2874,2795,2900,2793,2814,3158,3071,3000,2915,2224
California,210591,196622,191806,198379,209568,223141,214243,200897,193093,138996
Colorado,13547,13327,11108,10872,12661,14225,14520,13913,13558,9223
Connecticut,12577,12237,10985,11252,11102,12669,11938,11629,10630,7802
Delaware,2355,2208,2325,2085,2168,2204,2244,1831,2084,1301
District of Columbia,2724,2811,2981,3169,2976,3114,2885,2775,2398,1653
Florida,109229,103047,102939,109310,118873,136337,127609,130405,118140,65799
Georgia,27015,26134,24387,23792,25919,29572,26242,26725,27246,18282
Guam,1313,1430,1210,1089,1249,1147,1107,1231,1011,598
Hawaii,7296,6764,6226,5741,6513,6285,5396,5430,4917,2709
Idaho,2602,2428,2120,2202,2531,2562,2709,2728,2312,1853
Illinois,38325,38373,35988,36535,40482,43207,40530,38287,37958,27377
Indiana,8262,8359,7668,8008,8554,9946,10052,9741,8527,6551
Iowa,4624,4679,4105,4225,5047,5299,5577,5484,5534,3907
Kansas,5086,4980,5000,4861,5419,5709,5703,5630,5139,3943
Kentucky,5403,5243,5159,5634,5647,7098,7537,8734,6006,3932
Louisiana,4226,4454,4355,4382,4696,5784,4688,4889,5116,2584
Maine,1467,1497,1208,1382,1464,1748,1594,1749,1361,935
Maryland,25778,24971,25361,24787,22627,26077,25095,24301,22304,16049
Massachusetts,32236,31392,29482,29776,28535,35706,37010,33174,30834,22107
Michigan,18347,17494,16952,18185,18049,22569,18927,19850,17414,13953
Minnesota,12389,12999,12781,13764,14737,15603,16009,16721,13833,9828
Mississippi,1666,1583,1716,1587,1587,2149,1793,1643,1687,1020
Missouri,7048,6635,6345,6419,6731,6868,7707,7638,6900,5836
Montana,511,503,445,451,519,566,529,565,545,505
Nebraska,4535,4384,4141,4442,5234,5654,5327,6500,4279,2768
Nevada,10449,10343,9886,10089,11053,11555,12733,10851,11718,7040
New Hampshire,2478,2466,2227,2103,2159,2332,2279,2200,2046,1446
New Jersey,55547,50790,53082,51609,49801,56187,54440,54424,48754,30275
New Mexico,3767,3714,3664,3359,3626,4104,4002,4296,3736,2925
New York,148426,149505,133601,141406,130010,159878,139409,134839,124026,81755
North Carolina,17571,17487,16798,17152,18495,20811,21184,20838,18419,13989
North Dakota,948,1144,1234,1351,1600,1595,1471,1674,1494,1001
Ohio,13857,13948,13819,14641,16050,17251,16894,18809,16467,12651
Oklahoma,4503,4646,4648,4441,4880,5960,5535,5938,4642,3031
Oregon,7694,7791,7171,7379,8655,10033,9221,9679,8521,5984
Pennsylvania,25397,25032,24720,23944,24969,27217,27762,26078,25329,17398
Puerto Rico,3288,3106,2942,2709,3322,3581,3298,3062,2555,1689
Rhode Island,3681,3798,3337,3297,3610,4194,4102,4336,3445,2292
South Carolina,4216,3924,4266,4233,4417,5104,5027,5078,4675,3705
South Dakota,1337,1521,1231,1108,1265,1229,1017,1132,1199,885
Tennessee,8279,8573,8380,8507,8833,10032,9793,9590,9507,6704
Texas,94481,95557,92674,95295,99727,110651,110126,104515,107955,74565
Utah,6426,5932,5503,6166,6883,7271,6390,5723,6838,5421
Vermont,943,877,838,791,792,886,787,824,648,495
Virginia,27767,28227,27861,28477,27622,29242,29466,27426,24784,18183
Washington,23789,23060,22994,22710,24765,27304,27363,26029,25570,21549
West Virginia,830,779,760,783,786,928,776,675,817,547
Wisconsin,6245,6049,5918,5997,6655,7111,6681,7433,7138,4525
Wyoming,420,427,522,414,539,462,444,409,410,241
Other1,1480,1667,1379,1336,1116,1225,1413,1212,1294,775
Unknown,-,-,-,1,202,1809,820,624,813,374
