"Table with row headers in column A, and column headers in rows 4 through 6. Leading dots indicate subparts",,,,,,,,,,,,,,
Table 2.5,,,,,,,,,,,,,,
Educational Attainment of the Foreign-Born Population 25 Years and Over by Sex and Year of Entry: 2019,,,,,,,,,,,,,,
Sex and educational attainment1,Total,,Year of entry,,,,,,,,,,,
,,,2010 or later2,,2000-2009,,1990-1999,,1980-1989,,1970-1979,,Before 1970,
,Number,Percent,Number,Percent,Number,Percent,Number,Percent,Number,Percent,Number,Percent,Number,Percent
Both sexes," 40,195 ",100.0," 7,963 ",100.0," 10,252 ",100.0," 9,796 ",100.0," 6,414 ",100.0," 3,446 ",100.0," 2,324 ",100.0
.Less than 9th grade," 5,836 ",14.5, 766 ,9.6," 1,636 ",16.0," 1,413 ",14.4," 1,064 ",16.6, 653 ,19.0, 303 ,13.0
.9th to 12th grade (no diploma)," 3,952 ",9.8, 560 ,7.0," 1,224 ",11.9," 1,086 ",11.1, 692 ,10.8, 245 ,7.1, 146 ,6.3
.High school graduate," 10,235 ",25.5," 1,845 ",23.2," 2,732 ",26.6," 2,578 ",26.3," 1,597 ",24.9, 807 ,23.4, 676 ,29.1
.Some college or associate's degree," 6,246 ",15.5," 1,014 ",12.7," 1,367 ",13.3," 1,593 ",16.3," 1,148 ",17.9, 594 ,17.3, 530 ,22.8
.Bachelor's degree," 8,250 ",20.5," 2,145 ",26.9," 1,943 ",19.0," 1,870 ",19.1," 1,208 ",18.8, 672 ,19.5, 412 ,17.7
.Master's degree," 4,095 ",10.2," 1,329 ",16.7, 929 ,9.1, 876 ,8.9, 480 ,7.5, 311 ,9.0, 168 ,7.2
.Professional degree, 568 ,1.4, 96 ,1.2, 162 ,1.6, 138 ,1.4, 82 ,1.3, 51 ,1.5, 38 ,1.6
.Doctorate degree," 1,014 ",2.5, 207 ,2.6, 259 ,2.5, 242 ,2.5, 142 ,2.2, 112 ,3.3, 52 ,2.2
,                                  ,                                ,                                  ,                                ,                                  ,                                ,                                  ,                                ,                                  ,                                ,                                  ,                                ,                                  ,                                
.Less than high school diploma," 9,788 ",24.4," 1,326 ",16.7," 2,860 ",27.9," 2,499 ",25.5," 1,757 ",27.4, 898 ,26.1, 448 ,19.3
.High school graduate or more," 30,407 ",75.6," 6,637 ",83.3," 7,393 ",72.1," 7,296 ",74.5," 4,657 ",72.6," 2,548 ",73.9," 1,876 ",80.7
,                                  ,                                ,                                  ,                                ,                                  ,                                ,                                  ,                                ,                                  ,                                ,                                  ,                                ,                                  ,                                
.Less than bachelor's degree," 26,269 ",65.4," 4,185 ",52.6," 6,959 ",67.9," 6,670 ",68.1," 4,501 ",70.2," 2,299 ",66.7," 1,654 ",71.2
.Bachelor's degree or more," 13,927 ",34.6," 3,777 ",47.4," 3,294 ",32.1," 3,126 ",31.9," 1,913 ",29.8," 1,147 ",33.3, 670 ,28.8
,                                  ,                                ,                                  ,                                ,                                  ,                                ,                                  ,                                ,                                  ,                                ,                                  ,                                ,                                  ,                                
