"Number of Service-wide Forms Fiscal Year To- Date By Quarter and Form Status
Fiscal Year 2020",,,,,,,,,,,,,,,,,,,,,,,
Forms by Status and Period,,,,,,,,,,,,,,,,,,,,,,,
Category and Form No.,Description,1st Quarter,,,,2nd Quarter,,,,3rd Quarter,,,,,4th Quarter,,,,Fiscal Year 2020 To-Date,,,,
,,"Forms
Received",Approved,Denied,Pending,"Forms
Received",Approved,Denied,Pending,"Forms
Received",Approved,,Denied,Pending,"Forms
Received",Approved,Denied,Pending,"Forms
Received",Approved,,,
,,,,,,,,,,,,,,,,,,,,,,,
TOTAL - ALL FORMS,,"1,926,497","1,643,922","256,151","5,759,297","1,904,468","1,729,075","262,947","5,767,232","1,655,078","1,597,709",,"178,222","5,729,535",,,,,"5,486,043","4,970,706",,,
,,,,,,,,,,,,,,,,,,,,,,,
Family Based,,,,,,,,,,,,,,,,,,,,,,,
I-129F,Petition for Alien Fiancé(e),"11,533","9,023","2,592","18,969","12,033","9,115","2,741","18,875","7,073","5,917",,"1,505","18,789",,,,,"30,639","24,055",,,
I-130,Petition for Alien Relative,"231,143","192,451","21,933","1,570,512","203,236","199,806","25,267","1,543,183","110,547","199,432",,"34,278","1,452,157",,,,,"544,926","591,689",,,
I-485,Application to Register Permanent Residence or Adjust Status (Family),"101,936","76,922","13,884","336,313","83,323","89,402","18,020","315,655","43,632","25,799",,"12,066","330,312",,,,,"228,891","192,123",,,
I-600 1,Petition to Classify Orphan as an Immediate Relative,380,343,54,342,409,331,64,422,288,144,,33,569,,,,,"1,077",818,,,
I-601A,Application for Provisional Unlawful Presence Waiver,"12,948","9,937",758,"43,798","11,959","5,530",442,"50,487","10,566","5,390",,232,"55,421",,,,,"35,473","20,857",,,
I-751,Petition to Remove Conditions on Residence,"54,785","41,590","2,117","242,840","40,385","43,254","2,142","215,498","35,267","43,362",,"1,747","208,969",,,,,"130,437","128,206",,,
I-800 2,Petition to Classify Convention Adoptee as an Immediate Relative,"1,067","1,076",23,423,"1,021","1,052",18,375,791,579,,D,692,,,,,"2,879","2,707",,,
