Region and country of birth,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Total,"1,062,040","1,031,631","990,553","1,016,518","1,051,031","1,183,505","1,127,167","1,096,611","1,031,765","707,362"
Africa,"100,374","107,241","98,304","98,413","101,415","113,426","118,824","115,736","111,194","76,649"
Asia,"451,593","429,599","400,548","430,508","419,297","462,299","424,743","397,187","364,761","272,597"
Europe,"83,850","81,671","86,556","83,266","85,803","93,567","84,335","80,024","87,597","68,994"
North America,"333,902","327,771","315,660","324,354","366,126","427,293","413,650","418,991","370,860","222,272"
Oceania,"4,980","4,742","5,277","5,112","5,404","5,588","5,071","4,653","5,359","3,998"
South America,"86,096","79,401","80,945","73,715","72,309","79,608","79,076","78,869","90,850","62,219"
Unknown,"1,245","1,206","3,263","1,150",677,"1,724","1,468","1,151","1,144",633
COUNTRY,,,,,,,,,,
Total,"1,062,040","1,031,631","990,553","1,016,518","1,051,031","1,183,505","1,127,167","1,096,611","1,031,765","707,362"
Afghanistan,"1,648","1,617","2,196","10,527","8,328","12,513","19,538","12,935","10,136","11,407"
Albania,"3,612","3,364","3,186","3,828","4,653","5,773","5,722","5,049","5,366","3,508"
Algeria,"1,364","1,369","1,241","1,669","1,775","2,180","2,139","2,123","2,299","1,581"
Angola,148,187,143,148,154,198,209,176,226,181
Anguilla,25,23,22,20,22,20,23,23,14,11
Antigua and Barbuda,368,337,344,369,290,324,322,325,323,190
Argentina,"4,473","4,359","4,372","3,874","3,730","4,091","3,482","3,080","3,925","2,970"
Armenia,"2,983","2,681","2,722","2,913","2,962","3,543","3,437","3,217","3,101","2,145"
Aruba,39,54,45,40,38,23,47,45,52,22
Australia,"2,343","2,414","2,759","2,809","3,034","3,239","2,906","2,693","3,205","2,523"
Austria,424,407,415,438,474,432,387,401,437,311
Azerbaijan,728,663,637,672,676,784,881,"1,015","1,169",814
Bahamas,668,619,630,654,725,656,725,759,922,614
Bahrain,119,104,115,122,145,138,130,143,183,127
Bangladesh,"16,707","14,705","12,099","14,645","13,570","18,723","14,693","15,717","15,176","9,272"
Barbados,455,460,428,384,376,371,373,318,338,226
Belarus,"1,964","1,659","1,970","2,015","1,994","2,127","1,919","1,951","2,263","1,723"
Belgium,567,574,675,632,662,691,625,537,714,629
