REGION,,,,,,,,,,
Total,"694,193","757,434","779,929","653,416","730,259","753,060","707,265","761,901","843,593","628,254"
Africa,"69,738","74,775","71,872","62,175","71,492","72,338","61,851","64,934","84,990","66,436"
Asia,"249,940","257,035","275,700","233,163","261,374","271,733","255,306","275,621","327,273","246,099"
Europe,"82,209","82,714","80,333","71,325","78,074","74,344","65,141","71,436","81,040","57,403"
North America,"217,750","261,673","271,807","222,547","247,492","259,845","258,371","277,592","276,910","204,250"
Oceania,"3,734","3,886","3,849","3,399","3,811","3,953","3,327","3,792","4,308","3,392"
South America,"70,485","76,992","76,167","60,665","67,927","70,821","63,063","67,892","68,678","50,441"
Unknown,337,359,201,142,89,26,206,634,394,233
COUNTRY,,,,,,,,,,
Total,"694,193","757,434","779,929","653,416","730,259","753,060","707,265","761,901","843,593","628,254"
Afghanistan,"1,998","1,758","2,074","1,853","1,589","1,444","1,414","1,569","2,794","4,025"
Albania,"4,267","3,615","3,538","3,131","3,237","2,813","2,169","2,203","2,778","2,308"
Algeria,773,891,841,928,943,"1,035",949,918,"1,235","1,063"
American Samoa,205,180,265,187,296,285,216,182,279,177
Angola,162,166,143,145,132,131,125,147,136,94
Anguilla,38,30,26,18,31,16,20,34,25,19
Antigua and Barbuda,386,390,366,358,381,383,311,356,386,265
Argentina,"3,870","3,909","4,177","3,683","3,886","4,015","3,486","3,977","3,956","2,884"
Armenia,"3,965","3,285","3,203","2,488","2,874","2,516","1,994","2,085","2,327","1,852"
Aruba,40,27,42,28,37,28,32,33,54,37
Australia,"1,291","1,312","1,296","1,159","1,379","1,389","1,235","1,545","1,838","1,436"
Austria,271,241,248,223,207,221,177,238,214,160
Azerbaijan,"1,153",958,786,585,568,574,483,512,597,451
Bahamas,609,647,681,545,570,590,481,590,640,481
Bahrain,80,93,76,90,79,80,77,86,116,79
Bangladesh,"7,325","8,417","9,571","7,475","9,750","9,949","8,629","7,797","9,067","6,883"
Barbados,648,687,683,550,646,651,645,555,625,399
Belarus,"1,814","1,896","1,797","1,437","1,710","1,518","1,313","1,393","1,730","1,302"
Belgium,525,522,513,408,505,514,493,520,575,430
Belize,742,817,966,773,851,870,810,859,950,669
Benin,183,210,206,229,310,317,309,249,343,297
Bermuda,58,65,59,67,66,61,65,70,64,52
Bhutan,55,42,275,"2,639","4,562","5,563","5,557","6,180","6,920","4,536"
Bolivia,"1,446","2,063","1,961","1,527","1,689","1,862","1,806","1,575","1,679","1,208"
Bosnia and Herzegovina,"4,259","4,904","3,662","2,509","3,304","2,257","1,780","1,805","1,709","1,059"
Botswana,9,11,29,24,28,29,27,38,41,34
Brazil,"10,251","9,884","9,565","8,625","10,516","10,268","9,701","10,538","10,451","8,323"
